Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/23/2022,BP2,330130,16100,146420,167610,296752,14157,131435,151128
2/23/2022,VI,145460,2800,37840,104820,139679,2260,41772,95647
2/23/2022,IL,26071855,1158900,9049240,15863715,21711896,672784,7692840,13317567
2/23/2022,WV,3834185,160800,1527760,2145625,2630227,66319,1134853,1427367
2/23/2022,VT,1694150,71200,661980,960970,1343704,52733,523922,766169
2/23/2022,PR,7266490,213900,2553760,4498830,6877950,151241,2648428,4077665
2/23/2022,OR,9491385,460300,3561860,5469225,7419317,271923,2761934,4370301
2/23/2022,NH,3262430,175300,1156240,1930890,2624563,114131,977453,1532886
2/23/2022,AK,1432465,83700,555020,793745,1092637,45700,421689,624288
2/23/2022,AR,5845920,251000,2444560,3150360,4079547,121563,1743969,2210144
2/23/2022,NE,3757110,149300,1323880,2283930,3074505,93255,1107303,1867921
2/23/2022,WA,16787895,745800,6060100,9981995,13806662,480689,5166260,8148815
2/23/2022,SC,9964075,449300,4114440,5400335,7249335,227855,2825680,4193642
2/23/2022,FM,151100,12800,86940,51360,101461,13049,73372,15017
2/23/2022,NJ,20883935,943300,7487660,12452975,16490714,563277,6221229,9704027
2/23/2022,SD,1756665,88800,700600,967265,1352341,40392,528567,783249
2/22/2022,NV,5646310,258100,1941200,3447010,4694737,183706,1615787,2894719
2/22/2022,TN,12189330,503900,4645340,7040090,9565639,260112,3658434,5593512
2/22/2022,VA2,7773120,625900,3781280,3365940,7201221,254442,3712021,3234475
2/22/2022,PR,7265890,213900,2553160,4498830,6872535,151215,2646936,4073768
2/22/2022,LA,7870390,319700,3207320,4343370,6037831,195559,2479069,3360168
2/22/2022,BP2,330030,16100,146320,167610,296751,14157,131435,151127
2/22/2022,OH,21861555,969800,8230040,12661715,17177562,617133,6535213,10005318
2/22/2022,RI,2486325,87400,946500,1452425,2123489,64707,808708,1248525
2/22/2022,ME,3177850,151900,1251020,1774930,2694305,142465,1097643,1450919
2/22/2022,WV,3831685,160600,1527360,2143725,2626477,66261,1133462,1425067
2/22/2022,MH,81080,12600,52700,15780,52349,2650,44572,5125
2/22/2022,TX,58599995,2601800,21068240,34929955,44175928,1517409,16256178,26398049
2/22/2022,AS,92810,600,21500,70710,85962,560,21044,64309
2/22/2022,DC,1764305,69300,628380,1066625,1409951,35762,509452,863954
2/22/2022,MN,11919970,500200,4216760,7203010,9853674,353694,3582007,5913952
2/22/2022,NY,43725445,1857100,15397000,26471345,37674554,1413568,13639911,22601894
2/22/2022,WA,16760795,745800,6059000,9955995,13768182,480081,5155678,8121563
2/22/2022,WY,929785,48000,408440,473345,728494,28652,318490,380710
2/22/2022,DE,2212355,96300,855800,1260255,1726964,61276,664109,999556
2/22/2022,OR,9486385,460300,3561460,5464625,7415021,271800,2760862,4367291
2/22/2022,SC,9952675,449300,4110640,5392735,7245816,227771,2824540,4191354
2/22/2022,AR,5840020,251000,2444060,3144960,4077679,121531,1743396,2208884
2/22/2022,IL,26041055,1158900,9043540,15838615,21695872,672514,7688539,13306192
2/22/2022,IH2,2775095,104600,1238480,1432015,2161284,39640,1016924,1104550
2/22/2022,CT,8273335,338100,3184860,4750375,7263901,246433,2746700,4269550
2/22/2022,CA,85520225,3682700,30588420,51249105,71204664,2270486,26643215,42275749
2/22/2022,NJ,20848035,943200,7481960,12422875,16475873,562912,6216319,9694571
